Model FS_PM,AUC train (O),AUC test (O),AUC validation,F1 train (O),F1 test (O),F1 validation
glmnet_glmnet,1.0,0.76,0.935,0.987,0.656,0.883
rf_glmnet,1.0,0.814,0.893,0.985,0.708,0.878
xgbTree_glmnet,1.0,0.763,0.978,0.983,0.656,0.855
lda2_glmnet,1.0,0.797,0.855,0.996,0.682,0.717
nnet_glmnet,1.0,0.802,0.795,0.994,0.682,0.604
glmboost_glmnet,1.0,0.759,0.857,0.985,0.656,0.698
AUC_glmnet,1.0,0.76,0.935,0.987,0.656,0.883
glmnet_svmLinear,1.0,0.702,0.995,1.0,0.658,0.931
rf_svmLinear,1.0,0.67,0.948,0.998,0.658,0.818
xgbTree_svmLinear,1.0,0.662,0.948,1.0,0.658,0.839
lda2_svmLinear,1.0,0.685,0.804,0.994,0.658,0.794
nnet_svmLinear,1.0,0.659,0.801,0.998,0.658,0.781
glmboost_svmLinear,0.998,0.66,0.59,0.989,0.633,0.656
AUC_svmLinear,1.0,0.702,0.995,1.0,0.658,0.931
glmnet_rf,1.0,0.716,0.968,0.969,0.528,0.849
rf_rf,1.0,0.714,0.999,0.974,0.528,0.978
xgbTree_rf,1.0,0.732,0.942,0.955,0.562,0.891
lda2_rf,0.999,0.704,0.874,0.919,0.584,0.708
nnet_rf,1.0,0.695,0.941,0.958,0.573,0.885
glmboost_rf,1.0,0.716,0.956,0.978,0.584,0.885
AUC_rf,1.0,0.69,0.97,0.974,0.573,0.906
glmnet_xgbTree,1.0,0.588,0.985,1.0,0.533,0.858
rf_xgbTree,0.999,0.61,0.977,0.998,0.515,0.931
xgbTree_xgbTree,1.0,0.594,0.945,0.994,0.524,0.911
lda2_xgbTree,1.0,0.618,0.992,1.0,0.511,0.931
nnet_xgbTree,1.0,0.687,0.988,0.991,0.56,0.978
glmboost_xgbTree,1.0,0.6,0.956,1.0,0.56,0.896
AUC_xgbTree,1.0,0.588,0.985,1.0,0.533,0.858
glmnet_lda2,0.907,0.571,0.933,0.967,0.59,0.866
rf_lda2,1.0,0.604,0.924,1.0,0.601,0.748
xgbTree_lda2,1.0,0.604,0.993,1.0,0.601,0.958
lda2_lda2,1.0,0.604,0.625,1.0,0.601,0.543
nnet_lda2,1.0,0.604,0.938,1.0,0.601,0.858
glmboost_lda2,1.0,0.604,0.933,1.0,0.601,0.861
AUC_lda2,0.907,0.571,0.933,0.967,0.59,0.866
glmnet_nnet,1.0,0.744,0.813,1.0,0.641,0.891
rf_nnet,1.0,0.73,0.916,1.0,0.656,0.755
xgbTree_nnet,1.0,0.718,0.984,1.0,0.633,0.911
lda2_nnet,1.0,0.717,0.873,1.0,0.67,0.767
nnet_nnet,1.0,0.73,0.818,1.0,0.656,0.623
glmboost_nnet,1.0,0.638,0.907,1.0,0.622,0.748
AUC_nnet,0.995,0.631,0.965,0.934,0.589,0.891
glmnet_glmboost,0.967,0.659,0.985,0.936,0.593,0.906
rf_glmboost,0.956,0.636,0.975,0.917,0.519,0.935
xgbTree_glmboost,0.97,0.67,0.967,0.956,0.635,0.911
lda2_glmboost,0.956,0.545,0.853,0.909,0.533,0.772
nnet_glmboost,0.906,0.641,0.936,0.871,0.543,0.848
glmboost_glmboost,0.984,0.603,0.765,0.94,0.503,0.788
AUC_glmboost,0.955,0.595,0.912,0.908,0.495,0.855
glmnet_hdda,0.525,0.49,0.561,0.452,0.422,0.469
rf_hdda,0.478,0.498,0.522,0.4,0.444,0.48
xgbTree_hdda,0.528,0.327,0.39,0.489,0.345,0.47
lda2_hdda,0.518,0.368,0.578,0.479,0.366,0.514
nnet_hdda,0.472,0.384,0.553,0.438,0.355,0.534
glmboost_hdda,0.519,0.673,0.463,0.514,0.558,0.486
AUC_hdda,0.485,0.491,0.428,0.47,0.487,0.407
