Model PM_FS,Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
lda2_glmnet,74,40,45.946,0.074,0.118,0.561,0.091,0.317
lda2_rf,74,40,45.946,0.074,0.118,0.561,0.091,0.317
lda2_xgbTree,74,40,45.946,0.074,0.118,0.561,0.091,0.317
lda2_lda2,74,40,45.946,0.074,0.118,0.561,0.091,0.317
lda2_nnet,74,43,41.892,0.067,0.118,0.509,0.085,0.327
lda2_glmboost,74,40,45.946,0.074,0.118,0.561,0.091,0.317
nnet_glmnet,74,29,60.811,0.125,0.118,0.754,0.121,0.568
nnet_rf,74,27,63.514,0.188,0.176,0.772,0.182,0.52
nnet_xgbTree,74,24,67.568,0.316,0.353,0.772,0.333,0.503
nnet_lda2,74,28,62.162,0.211,0.235,0.737,0.222,0.507
nnet_nnet,74,31,58.108,0.182,0.235,0.684,0.205,0.474
nnet_glmboost,74,27,63.514,0.222,0.235,0.754,0.229,0.492
glmboost_glmnet,74,23,68.919,0,0,0.895,0,0.399
glmboost_rf,74,25,66.216,0,0,0.86,0,0.528
glmboost_xgbTree,74,21,71.622,0,0,0.93,0,0.466
glmboost_lda2,74,20,72.973,0.286,0.118,0.912,0.167,0.611
glmboost_nnet,74,18,75.676,0.4,0.118,0.947,0.182,0.364
glmboost_glmboost,74,22,70.27,0,0,0.912,0,0.448
hdda_glmnet,74,45,39.189,0.15,0.353,0.404,0.211,0.347
hdda_rf,74,38,48.649,0.2,0.412,0.509,0.269,0.488
hdda_lda2,74,39,47.297,0.156,0.294,0.526,0.204,0.431
