Total,Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC
74,19,74.324,0.417,0.294,0.877,0.345,0.701
74,19,74.324,0.417,0.294,0.877,0.345,0.701
74,19,74.324,0.417,0.294,0.877,0.345,0.701
74,19,74.324,0.417,0.294,0.877,0.345,0.701
74,19,74.324,0.417,0.294,0.877,0.345,0.701
74,19,74.324,0.417,0.294,0.877,0.345,0.701
74,19,74.324,0.417,0.294,0.877,0.345,0.701
74,19,74.324,0.417,0.294,0.877,0.345,0.701
74,19,74.324,0.417,0.294,0.877,0.345,0.701
74,19,74.324,0.417,0.294,0.877,0.345,0.701
