Nb Errors,Accuracy,Precision,Recall,Specificity,F1,AUC,MSE
3,62.5,0.0,0.0,0.8333333333333334,0.0,0.33333333333333337,0.375
2,75.0,0.0,0.0,1.0,0.0,0.6666666666666667,0.25
2,75.0,0.0,0.0,1.0,0.0,0.5833333333333333,0.25
1,85.71428571428571,0.0,0.0,1.0,0.0,1.0,0.14285714285714285
4,42.857142857142854,0.0,0.0,0.5,0.0,0.5,0.5714285714285714
1,85.71428571428571,0.0,0.0,1.0,0.0,0.33333333333333337,0.14285714285714285
3,57.14285714285714,0.0,0.0,0.8,0.0,0.5,0.42857142857142855
0,100.0,1.0,1.0,1.0,1.0,1.0,0.0
3,57.14285714285714,0.0,0.0,0.8,0.0,0.7,0.42857142857142855
2,71.42857142857143,0.0,0.0,1.0,0.0,0.5,0.2857142857142857
3,62.5,0.0,0.0,0.8333,0.0,0.3333,0.375
2,75.0,0.0,0.0,1.0,0.0,0.6667,0.25
2,75.0,0.0,0.0,1.0,0.0,0.5833,0.25
3,62.5,0.0,0.0,0.833,0.0,0.333,0.375
2,75.0,0.0,0.0,1.0,0.0,0.667,0.25
2,75.0,0.0,0.0,1.0,0.0,0.583,0.25
1,85.7143,0.0,0.0,1.0,0.0,1.0,0.1429
4,42.8571,0.0,0.0,0.5,0.0,0.5,0.5714
1,85.7143,0.0,0.0,1.0,0.0,0.333,0.1429
3,57.1429,0.0,0.0,0.8,0.0,0.5,0.4286
0,100.0,1.0,1.0,1.0,1.0,1.0,0.0
3,57.1429,0.0,0.0,0.8,0.0,0.7,0.4286
2,71.4286,0.0,0.0,1.0,0.0,0.5,0.2857
3,62.5,0.0,0.0,0.833,0.0,0.333,0.375
2,75.0,0.0,0.0,1.0,0.0,0.667,0.25
2,75.0,0.0,0.0,1.0,0.0,0.583,0.25
1,85.714,0.0,0.0,1.0,0.0,1.0,0.143
4,42.857,0.0,0.0,0.5,0.0,0.5,0.571
1,85.714,0.0,0.0,1.0,0.0,0.333,0.143
3,57.143,0.0,0.0,0.8,0.0,0.5,0.429
0,100.0,1.0,1.0,1.0,1.0,1.0,0.0
3,57.143,0.0,0.0,0.8,0.0,0.7,0.429
2,71.429,0.0,0.0,1.0,0.0,0.5,0.286
